,Carrera,Edad,Trabajo,Beca,Genero,EstadoCivil,CantidadHijos,Prom_cAplazo,A/P,Desemp1R,Desemp2N,Desemp3RN
236,CPN,24,N,N,F,Soltero,0,5.54,2.0,0,0,0
237,CPN,23,N,N,M,Soltero,0,7.5,5.666666666666667,1,1,1
238,CPN,23,N,N,M,Soltero,0,6.22,3.8333333333333335,0,0,0
239,LA,24,N,N,F,Soltero,0,7.38,5.333333333333333,1,1,1
240,CPN,24,N,N,F,Soltero,0,6.65,4.166666666666667,1,0,0
241,CPN,23,N,N,M,Soltero,0,6.82,5.166666666666667,1,0,1
242,CPN,24,N,N,F,Soltero,0,5.21,2.3333333333333335,0,0,0
243,LA,24,N,N,M,Soltero,0,6.88,6.0,1,0,1
244,CPN,23,N,N,M,Soltero,0,5.82,3.8333333333333335,0,0,0
245,CPN,23,N,S,F,Soltero,0,5.61,3.0,0,0,0
246,LA,25,N,N,F,Soltero,0,6.5,1.8333333333333333,0,0,0
247,LA,23,N,N,F,Soltero,0,6.88,4.333333333333333,1,0,1
248,LA,23,S,N,F,Soltero,0,7.13,5.5,1,1,1
249,CPN,24,S,N,F,Soltero,0,7.66,4.666666666666667,1,1,1
250,CPN,23,N,N,M,Soltero,0,5.45,3.1666666666666665,0,0,0
251,CPN,25,S,N,F,Soltero,0,5.74,3.3333333333333335,0,0,0
252,CPN,25,N,N,F,Soltero,0,6.97,3.8333333333333335,0,0,0
253,CPN,24,N,N,M,Soltero,0,6.19,3.0,0,0,0
254,LA,30,S,N,M,Soltero,0,8.58,4.666666666666667,1,1,1
255,CPN,23,S,N,F,Soltero,0,8.88,5.666666666666667,1,1,1
256,LE,24,N,N,M,Soltero,0,7.04,3.6666666666666665,0,1,0
257,CPN,25,N,S,F,Soltero,0,7.32,3.6666666666666665,0,1,0
258,CPN,23,N,N,F,Soltero,0,5.97,3.0,0,0,0
259,LA,25,N,N,M,Soltero,0,6.43,2.6666666666666665,0,0,0
260,CPN,24,S,N,F,Soltero,0,5.78,4.5,1,0,0
261,CPN,23,S,N,M,Soltero,0,7.03,5.333333333333333,1,1,1
262,CPN,23,S,N,M,Soltero,0,8.06,5.5,1,1,1
263,CPN,23,N,N,M,Soltero,0,7.24,6.0,1,1,1
264,CPN,23,N,N,M,Soltero,0,6.41,3.3333333333333335,0,0,0
265,LA,24,N,N,M,Soltero,0,8.13,5.0,1,1,1
266,LA,25,S,N,F,Soltero,0,7.17,5.666666666666667,1,1,1
267,CPN,23,N,N,F,Soltero,0,6.84,5.0,1,0,1
268,CPN,25,N,N,M,Soltero,0,5.87,3.5,0,0,0
269,CPN,25,N,S,F,Soltero,0,6.03,4.166666666666667,1,0,0
270,CPN,23,S,N,M,Soltero,0,6.49,5.666666666666667,1,0,1
271,LE,23,N,N,F,Soltero,0,8.59,5.333333333333333,1,1,1
272,CPN,24,N,N,M,Soltero,0,5.92,3.1666666666666665,0,0,0
273,LA,26,N,N,M,Soltero,0,7.24,6.0,1,1,1
274,CPN,24,N,N,M,Soltero,0,7.57,5.5,1,1,1
275,CPN,24,N,N,M,Soltero,0,5.98,4.5,1,0,0
