ID,Carrera,Edad,AyudaFamiliar,PlanSocial,Trabajo,Beca,HsTrabSem,Genero,EstadoCivil,SituacionPadre,SituacionMadre,CantidadHijos,ViveCon,CP,Aprobadas,Reprobadas,Prom_cAplazo,Plazo, A/P ,DesempR,DesempC
329,LA,24,S,N,S,N,2,M,1,0,0,0,3,5513,11,8,5.63,6,  1.83 ,  10.32 ,0
330,CPN,24,S,N,N,N,0,M,1,1,0,0,3,5547,34,14,6.48,6,  5.67 ,  36.72 ,1
331,LE,25,S,N,N,N,0,F,1,1,0,0,3,5582,19,4,7.04,6,  3.17 ,  22.29 ,0
333,LA,24,S,N,S,N,2,M,1,0,0,0,3,5515,13,4,6.59,3,  4.33 ,  28.56 ,1
333,CPN,24,S,N,S,N,2,M,1,0,0,0,3,5515,12,6,6.27,6,  2.00 ,  12.54 ,0
334,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5547,34,2,8.11,6,  5.67 ,  45.96 ,1
335,CPN,23,N,N,N,S,0,F,1,0,0,0,3,5500,23,26,5.4,6,  3.83 ,  20.70 ,0
335,LA,23,N,N,N,S,0,F,1,0,0,0,3,5500,17,13,5.73,3,  5.67 ,  32.47 ,1
336,LA,24,S,N,N,N,0,F,1,0,0,0,3,5507,28,1,8.1,6,  4.67 ,  37.80 ,1
337,CPN,25,S,N,N,N,0,F,1,0,0,0,4,5539,25,11,6.22,6,  4.17 ,  25.92 ,1
338,LA,23,S,N,N,N,0,M,1,0,0,0,3,5570,30,1,7.9,6,  5.00 ,  39.50 ,1
339,CPN,24,S,N,N,S,0,F,1,0,0,0,3,5519,16,12,6.04,6,  2.67 ,  16.11 ,0
340,LA,23,S,N,N,N,0,M,1,0,0,0,3,5519,20,5,7.2,6,  3.33 ,  24.00 ,1
341,CPN,23,S,N,N,N,0,F,1,0,0,0,3,5570,32,3,7.31,6,  5.33 ,  38.99 ,1
342,CPN,23,S,S,S,N,,F,1,0,0,0,3,5505,23,8,6.55,6,  3.83 ,  25.11 ,1
344,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5501,16,5,6.48,6,  2.67 ,  17.28 ,0
345,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5523,23,16,6.15,6,  3.83 ,  23.58 ,0
346,CPN,24,S,N,N,S,0,M,1,0,0,0,3,5505,21,13,6.38,6,  3.50 ,  22.33 ,0
348,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5539,33,9,7.21,6,  5.50 ,  39.66 ,1
349,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5501,29,12,6.32,6,  4.83 ,  30.55 ,1
350,LA,24,S,N,N,N,0,M,1,0,0,3,3,5500,21,8,6.28,6,  3.50 ,  21.98 ,0
353,LE,24,S,N,N,N,0,M,1,0,0,0,3,5539,32,5,7.3,6,  5.33 ,  38.93 ,1
354,LA,25,S,N,N,N,0,F,1,0,0,0,3,5505,25,15,6.77,6,  4.17 ,  28.21 ,1
354,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5505,3,3,5.67,5,  0.60 ,  3.40 ,0
356,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5501,34,4,7.66,6,  5.67 ,  43.41 ,1
357,LA,24,S,N,N,N,0,M,1,0,0,0,3,5501,27,4,6.87,6,  4.50 ,  30.92 ,1
358,LA,24,S,N,N,N,0,F,1,0,0,0,3,5507,33,5,7.43,6,  5.50 ,  40.87 ,1
359,CPN,23,S,N,S,N,3,M,1,0,0,0,3,5533,24,18,6.1,6,  4.00 ,  24.40 ,1
360,CPN,30,N,N,N,S,0,F,1,0,0,0,3,5501,26,8,6.47,6,  4.33 ,  28.04 ,1
361,CPN,30,S,N,N,S,0,F,1,0,0,0,3,5519,28,3,7.39,6,  4.67 ,  34.49 ,1
365,LA,23,S,N,N,N,0,M,1,0,0,0,3,5515,32,4,7.42,6,  5.33 ,  39.57 ,1
366,LA,24,S,N,S,N,2,M,1,0,0,0,3,5500,13,2,7,2,  6.50 ,  45.50 ,1
367,CPN,24,S,N,S,N,1,F,1,0,0,0,3,5541,27,8,6.46,6,  4.50 ,  29.07 ,1
368,CPN,23,S,N,S,N,2,F,1,0,0,0,3,5600,19,7,7.12,6,  3.17 ,  22.55 ,0
369,CPN,23,N,N,S,S,1,F,1,0,1,0,1,5544,29,1,8.13,6,  4.83 ,  39.30 ,1
370,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5600,34,5,7.18,6,  5.67 ,  40.69 ,1
371,LA,24,S,N,N,N,0,F,1,0,0,0,3,5500,28,13,6.56,6,  4.67 ,  30.61 ,1
372,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5533,20,12,6.38,6,  3.33 ,  21.27 ,0
373,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5533,32,3,7.77,6,  5.33 ,  41.44 ,1
374,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5500,34,5,7.18,6,  5.67 ,  40.69 ,1
